postcode,detached_2018,semi-det_2018,terraced_2018,Flat/mais_2018,average_2018,detached_2019,semi-det_2019,terraced_2019,Flat/mais_2019,average_2019,detached_2009,semi-det_2009,terraced_2009,Flat/mais_2009,average_2009,detached_2021,semi-det_2021,terraced_2021,Flat/mais_2021,average_2021,detached_2020,semi-det_2020,terraced_2020,Flat/mais_2020,average_2020,detached_2008,semi-det_2008,terraced_2008,Flat/mais_2008,average_2008,detached_2022,semi-det_2022,terraced_2022,Flat/mais_2022,average_2022,detached_2023,semi-det_2023,terraced_2023,Flat/mais_2023,average_2023,detached_2012,semi-det_2012,terraced_2012,Flat/mais_2012,average_2012,detached_2007,semi-det_2007,terraced_2007,Flat/mais_2007,average_2007,detached_2013,semi-det_2013,terraced_2013,Flat/mais_2013,average_2013,detached_2011,semi-det_2011,terraced_2011,Flat/mais_2011,average_2011,detached_2010,semi-det_2010,terraced_2010,Flat/mais_2010,average_2010,detached_2014,semi-det_2014,terraced_2014,Flat/mais_2014,average_2014,detached_2015,semi-det_2015,terraced_2015,Flat/mais_2015,average_2015,detached_2017,semi-det_2017,terraced_2017,Flat/mais_2017,average_2017,detached_2016,semi-det_2016,terraced_2016,Flat/mais_2016,average_2016
UB7 9,360000,407801,368310,333660,350102,507500,408136,398911,257205,360332,0,217733,202380,198404,203408,437000,462120,420486,287324,364126,500000,458010,386375,285419,365432,333333,242308,233468,210999,223933,550125,475039,460096,293741,379482,535000,495029,456059,292524,376487,320000,262307,249736,195818,241893,350000,237245,227318,192194,213663,377142,280538,298437,220049,253835,0,233796,212633,167970,201458,279167,235465,208810,185638,210885,381237,285482,307136,209033,249733,440571,343567,393630,270334,330345,565000,428437,412900,319743,338903,659995,402992,419464,258480,382453
UB8 1,728559,526778,418000,281492,388923,807591,548364,404850,262676,366189,387812,288054,242333,177071,220227,812000,559190,435846,332677,422459,783889,570286,427769,309352,421173,538458,301800,255571,240501,276818,878896,641792,466538,354358,468664,880000,677772,463571,295806,461463,541556,354030,318577,190602,292761,512429,330440,298429,222508,310337,550245,341562,289586,218142,314260,478184,357859,285344,201815,265331,418036,336667,315862,197517,251723,558188,398579,376444,233156,322443,590364,416369,364153,258663,345960,702917,519429,423695,306530,426185,708966,550074,391995,301568,452251
UB8 2,693750,448817,372898,284108,345551,525625,449340,347118,307327,344248,290917,230125,212719,144582,195712,516444,458270,405992,251926,386005,479000,486345,366807,262675,338623,335987,265126,247060,179282,216320,629167,498760,419616,245325,402220,556000,475729,396042,259066,365507,256500,273649,287649,148591,234087,387969,273714,226945,165939,231827,311500,289982,263029,158175,232910,411973,275451,241866,151688,219372,300750,284726,230136,157631,227953,410778,331312,295261,170285,261176,394375,374218,321089,206822,304787,516667,431560,366679,235575,330690,477437,446313,395220,215116,353004
UB8 3,519588,442559,350146,275814,387964,563942,434150,396306,291609,405670,305526,245339,223890,178940,223630,658768,457787,441195,281943,444700,598840,427032,436729,280783,436806,365977,281246,251286,185895,257527,616946,503531,429934,296419,448600,591463,516860,443380,262763,463742,324903,273037,240950,181219,254245,387938,265427,244390,172193,252261,362993,266851,239147,171772,254547,357850,257277,238690,172785,242664,344706,265694,243517,180577,249092,431769,323974,271647,205260,291407,494409,376639,339605,231362,355436,520350,430142,379722,288271,387976,501091,397904,366569,259394,373098
UB9 6,613850,453075,375250,295467,392461,579000,427034,418269,293602,418368,410364,272453,247883,166875,264473,728437,490369,415138,290000,472550,773500,479458,387021,279622,470624,454729,272497,238385,179564,274474,861767,487679,438025,318978,492627,910833,526930,452500,297846,492787,473085,305650,304287,171589,291486,493867,288468,289249,175028,295146,496746,358146,286805,232918,321984,408783,293574,261540,181969,283496,399967,265500,230860,180662,255879,556385,363294,293245,294084,352884,633622,391054,322291,282037,368326,663333,480407,467397,329514,446051,799500,453929,450405,333369,450590
W10 4,0,0,810741,538014,626732,0,0,841691,658940,764022,0,422500,424609,276398,363047,0,0,842065,507145,688396,0,0,849750,479417,742234,0,0,434616,262763,316677,0,0,975350,581044,875525,0,0,871278,559533,729576,0,0,555176,336736,433591,0,250000,464093,291861,336940,0,0,631031,335789,467332,0,460000,476581,292545,362820,0,467000,452940,288270,383287,0,0,702737,456957,586315,0,826250,767982,455149,591424,0,0,785778,569809,644567,0,0,806354,472760,650677
W10 5,7850000,1875000,1627500,758574,1027377,0,0,2115000,636154,718312,0,0,1757500,317869,440391,0,0,1406667,595410,647193,6600000,0,1146214,779566,937810,0,0,774983,343444,378434,7440000,0,2975000,807351,1031186,7600000,3250000,1165000,752224,1049431,5000000,0,1643750,423108,595098,0,1100000,1011286,348312,459655,3512750,1875000,758333,531986,623171,0,1900000,1299000,356614,492600,5837500,0,1303750,352211,625489,0,0,1397500,595531,665267,9000000,0,1454300,629969,732360,0,0,2017778,700035,860301,0,0,1930000,629472,695825
W10 6,0,4401667,2041853,977714,1669476,0,0,1774659,547912,884666,0,1092500,871347,407552,553515,1250000,7250000,1706029,941963,1312462,0,0,1927969,739652,1171767,0,2650000,876265,420245,556986,4112500,3950000,2000650,848591,1294598,0,2420000,2032308,766412,1143708,3175000,1632000,1451942,540906,858985,0,1385000,1025255,469191,601247,0,9850000,1375537,558757,835882,965000,1700000,1402541,465641,696816,5670000,748642,1216707,518009,685099,1480000,0,2137308,654410,1013093,4850000,0,2067795,683991,984388,0,0,2099536,801341,1137910,4700000,650000,1865459,793250,1037595
W11 1,0,0,2217167,764979,1081820,0,0,1753000,755125,842658,0,0,1386600,418480,531052,0,0,2827406,717034,1167247,0,3950000,2745300,934986,1333441,0,2625000,1177562,458319,610638,5300000,0,2602417,845445,1195284,1337500,0,2833667,814671,983385,0,0,1930000,587728,674889,0,2837500,1260824,431952,553900,0,0,2299423,551934,716552,0,0,1625068,515015,675229,0,3412500,1769645,593972,888444,0,5000000,2926786,633512,998235,0,0,2287241,696360,788853,0,0,1016667,871297,878331,0,0,3175625,770197,1049088
W11 2,0,5000000,5285882,1405850,2394348,0,8305500,4209875,1280227,2211554,4150000,0,3077444,639409,1099557,0,9382142,5859552,1094555,2502517,0,0,5026072,1297478,2076587,0,8750000,3522500,748898,1365103,0,11980625,7457361,1445024,3256644,13000000,13125000,5633125,1460131,2671016,0,11442343,4535632,1069471,1809744,9250000,0,2427469,662242,1011236,0,1900000,5104436,1166657,1640066,2160000,9275000,2548209,867377,1319964,12400000,7375000,4039636,767812,1883608,0,6025000,6156816,1285637,2082755,0,12250000,3922626,1169260,1892860,0,0,6894300,1221600,2356140,8525000,10827000,6606030,1169382,3356652
